article,available_sizes,beautyDiscount,brandName,brand_route,brand_title,colection,discount,discountId,hasVariantPrice,id,image,image_count,images,item,line,mannequins,maxPrice,maxPriceOld,minPrice,minPriceOld,model,monoBrand,newIn,outfit,price,priceInStore,priceOld,route,season,sizeTable_name,sizeTable_show,sizeTable_title,title,variant_count,warehouse
1,"42, 40",,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142745,142745-311543_1605251143053.5057438p507.JPG,4,"142745-311543_1605251143053.5057438p507.JPG, 142745-311544_1605251147131.5057438p36.JPG, 142745-311545_1605251151444.5057438p999.JPG, 142745-311546_1605251155476.5057438p327.JPG",overalls,Red Valentino,,418.5,837,418.5,837,RR3VEA25TUF,False,False,142745-311544_1605251147131.5057438p36.JPG,418.5,False,837,/az/products/ciblerle-dizaynli-kombinezon-142745,2019,it,False,IT,Ciblərlə dizaynlı kombinezon,2,Premium
1,42,,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142736,142736-311635_1605264763072.5057348p799.JPG,4,"142736-311635_1605264763072.5057348p799.JPG, 142736-311636_1605264767207.5057348p123.JPG, 142736-311637_1605264771168.5057348p251.JPG, 142736-311638_1605264775368.5057348p132.JPG",dress,Red Valentino,,260,520,260,520,RR3VAC95JLM,False,False,142736-311636_1605264767207.5057348p123.JPG,260,False,520,/az/products/cicek-printli-don-142736,2019,it,False,IT,Çiçək printli don,1,Premium
1,M,,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142730,142730-311740_1605522437884.5057288p0.JPG,4,"142730-311740_1605522437884.5057288p0.JPG, 142730-311741_1605522442013.5057288p597.JPG, 142730-311742_1605522446137.5057288p47.JPG, 142730-311743_1605522450298.5057288p997.JPG",sweater,Red Valentino,,251,502,251,502,RR3KCA65SXC,False,False,142730-311741_1605522442013.5057288p597.JPG,251,False,502,/az/products/printli-cemper-142730,2019,xl,False,XL,Printli cemper,1,Premium
1,25,,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142708,142708-311507_1605248269971.5057068p436.JPG,2,"142708-311507_1605248269971.5057068p436.JPG, 142708-311508_1605248274067.5057068p927.JPG",jeans,Red Valentino,,191.5,383,191.5,383,RR3DE00NKHF,False,False,142708-311508_1605248274067.5057068p927.JPG,191.5,False,383,/az/products/dar-bicimli-denim-salvar-142708,2019,denim,True,DENIM,Dar biçimli denim şalvar,1,Premium
1,44,,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142706,142706-312103_1605615573971.5057048p229.JPG,4,"142706-312103_1605615573971.5057048p229.JPG, 142706-312104_1605615579013.5057048p823.JPG, 142706-312105_1605615583716.5057048p621.JPG, 142706-312106_1605615589003.5057048p828.JPG",top,Red Valentino,,184.5,369,184.5,369,RR0AEB05JTD,False,False,142706-312104_1605615579013.5057048p823.JPG,184.5,False,369,/az/products/volanli-dizaynli-qolsuz-top-142706,2019,it,False,IT,Volanlı dizaynlı qolsuz top,1,Premium
1,"42, 40",,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142700,142700-311772_1605524187818.5056988p608.JPG,4,"142700-311772_1605524187818.5056988p608.JPG, 142700-311773_1605524192641.5056988p534.JPG, 142700-311774_1605524197142.5056988p40.JPG, 142700-311775_1605524201935.5056988p829.JPG",shirt,Red Valentino,,172,344,172,344,RR3ABA002ES,False,False,142700-311773_1605524192641.5056988p534.JPG,172,False,344,/az/products/volan-detalli-bluz-142700,2019,it,False,IT,Volan detallı bluz,2,Premium
1,"38, 44",,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142688,142688-311872_1605532900086.5056868p630.JPG,4,"142688-311872_1605532900086.5056868p630.JPG, 142688-311873_1605532904674.5056868p821.JPG, 142688-311874_1605532908700.5056868p401.JPG, 142688-311875_1605532913334.5056868p545.JPG",skirt,Red Valentino,,145,290,145,290,RR0RAB35VHE,False,False,142688-311873_1605532904674.5056868p821.JPG,145,False,290,/az/products/duz-bicimli-etek-142688,2019,it,False,IT,Düz biçimli ətək,2,Premium
DVF GARDENA LACE,"46, 50, 42",,Diane Von Furstenberg,/az/brands/dianevonfurstenberg,Diane von Furstenberg,woman,50,,False,142653,142653-310497_1604640395161.5056518p766.JPG,4,"142653-310497_1604640395161.5056518p766.JPG, 142653-310498_1604640400253.5056518p345.jpg, 142653-310499_1604640404992.5056518p486.JPG, 142653-310500_1604640410112.5056518p806.JPG",skirt,,,206,412,206,412,12358DVF,False,False,142653-310498_1604640400253.5056518p345.jpg,206,False,412,/az/products/gardena-pliseli-etek-142653,2019,it,False,IT,Gardena pliseli ətək,3,Premium
1,XS,,Marc by Marc Jacobs,/az/brands/marcjacobs,Marc Jacobs,woman,50,,False,142636,142636-311340_1605177160977.5056348p326.JPG,4,"142636-311340_1605177160977.5056348p326.JPG, 142636-311341_1605177165600.5056348p59.JPG, 142636-311342_1605177170411.5056348p553.JPG, 142636-311343_1605177175410.5056348p547.JPG",dress,RTW,,436.5,873,436.5,873,M4007791,False,False,142636-311341_1605177165600.5056348p59.JPG,436.5,False,873,/az/products/volanli-kombinezon-142636,2019,xl,False,XL,Volanlı kombinezon,1,Premium
1,36,,Marc by Marc Jacobs,/az/brands/marcjacobs,Marc Jacobs,woman,50,,False,142632,142632-311428_1605183568008.5056308p818.JPG,4,"142632-311428_1605183568008.5056308p818.JPG, 142632-311429_1605183573261.5056308p807.JPG, 142632-311430_1605183578127.5056308p790.JPG, 142632-311431_1605183583244.5056308p94.JPG",shorts,RTW,,307,614,307,614,W4190048,False,False,142632-311429_1605183573261.5056308p807.JPG,307,False,614,/az/products/payetlerle-bezedilmis-kulot-142632,2019,it,False,IT,Payetlərlə bəzədilmiş külot,1,Premium
1,"S, XS",,Marc by Marc Jacobs,/az/brands/marcjacobs,Marc Jacobs,woman,50,,False,142630,142630-311445_1605185786044.5056288p565.JPG,4,"142630-311445_1605185786044.5056288p565.JPG, 142630-311446_1605185790767.5056288p488.jpg, 142630-311447_1605185794952.5056288p259.JPG, 142630-311448_1605185801783.5056288p610.JPG",dress,RTW,,274.5,549,274.5,549,M4007796,False,False,142630-311446_1605185790767.5056288p488.jpg,274.5,False,549,/az/products/muncuqla-bezedilmis-top-142630,2019,xl,False,XL,Muncuqla bəzədilmiş top,2,Premium
1,38,,Marc by Marc Jacobs,/az/brands/marcjacobs,Marc Jacobs,woman,50,,False,142620,142620-311408_1605181783263.5056188p326.JPG,4,"142620-311408_1605181783263.5056188p326.JPG, 142620-311409_1605181787529.5056188p982.JPG, 142620-311410_1605181791690.5056188p31.JPG, 142620-311411_1605181795818.5056188p713.JPG",pants,RTW,,196,392,196,392,M4007784,False,False,142620-311409_1605181787529.5056188p982.JPG,196,False,392,/az/products/printli-qisaldilmis-salvar-142620,2019,it,False,IT,Printli qısaldılmış şalvar,1,Premium
1,XS,,Marc by Marc Jacobs,/az/brands/marcjacobs,Marc Jacobs,woman,50,,False,142595,142595-311379_1605179263838.5055938p263.JPG,4,"142595-311379_1605179263838.5055938p263.JPG, 142595-311381_1605179267867.5055938p601.jpg, 142595-311382_1605179272036.5055938p46.JPG, 142595-311383_1605179276229.5055938p929.JPG",pants,RTW,,100,200,100,200,M4007785,False,False,142595-311381_1605179267867.5055938p601.jpg,100,False,200,/az/products/elastik-belli-salvar-142595,2019,xl,False,XL,Elastik belli şalvar,1,Premium
GAIA,40,,Fontana Couture,/az/brands/fontanacouture,Fontana Couture,woman,50,,False,142556,142556-320845_1611570922686.5055548p878.JPG,4,"142556-320845_1611570922686.5055548p878.JPG, 142556-320846_1611570926902.5055548p320.jpg, 142556-320847_1611570930987.5055548p885.JPG, 142556-320848_1611570935120.5055548p844.JPG",blouse,Main,,569,1138,569,1138,P191207G,False,False,142556-320846_1611570926902.5055548p320.jpg,569,False,1138,/az/products/qehveyi-ve-sari-rengli-gupurlu-detalli-koynek-142556,2019,it,False,IT,Qəhvəyi və sarı rəngli güpürlü detallı köynək,1,Premium
BA122C,40,,Antonio Berardi,/az/brands/antonioberardi,Antonio Berardi,woman,50,,False,142540,142540-321108_1611662254149.5055388p934.JPG,4,"142540-321108_1611662254149.5055388p934.JPG, 142540-321109_1611662258322.5055388p280.jpg, 142540-321110_1611662263221.5055388p378.JPG, 142540-321111_1611662267501.5055388p753.JPG",blouse,,,440,880,440,880,ABPA3001,False,False,142540-321109_1611662258322.5055388p280.jpg,440,False,880,/az/products/ag-ve-goy-rengli-asimmetrik-bicimli-koynek-142540,2019,it,False,IT,Ağ və göy rəngli asimmetrik biçimli köynək,1,Premium
D23,42,,Antonio Marras,/az/brands/antoniomarras,Antonio Marras,woman,50,,False,142539,142539-320686_1611553224870.5055378p146.JPG,4,"142539-320686_1611553224870.5055378p146.JPG, 142539-320687_1611553228927.5055378p34.JPG, 142539-320688_1611553233016.5055378p888.JPG, 142539-320689_1611553237038.5055378p904.JPG",shirt,,,320.5,641,320.5,641,LB1002,False,False,142539-320687_1611553228927.5055378p34.JPG,320.5,False,641,/az/products/qirmizi-rengli-gupurlu-detalli-koynek-142539,2019,it,False,IT,Qırmızı rəngli güpürlü detallı köynək,1,Premium
CHANTAL,"44, 48",,Fontana Couture,/az/brands/fontanacouture,Fontana Couture,woman,50,,False,142536,142536-320857_1611572867315.5055348p929.JPG,4,"142536-320857_1611572867315.5055348p929.JPG, 142536-320858_1611572871551.5055348p42.jpg, 142536-320859_1611572876169.5055348p764.JPG, 142536-320860_1611572880527.5055348p600.JPG",blouse,Pre,,548,1096,548,1096,P19010N1,False,False,142536-320858_1611572871551.5055348p42.jpg,548,False,1096,/az/products/ag-rengli-metal-detallarla-dizaynli-bluz-142536,2019,it,False,IT,Ağ rəngli metal detallarla dizaynlı bluz,2,Premium
